pitch_name,sector,model,run,score,math_accuracy,risk_level,capital_intensity,recommendation_length,rubric_score
LedgerFlow,fintech,gpt-oss-120b,1,5,100.0,medium,high,42,6
LedgerFlow,fintech,gpt-oss-120b,2,5,100.0,low,high,37,6
LedgerFlow,fintech,gpt-oss-120b,3,5,100.0,low,high,38,6
LedgerFlow,fintech,Kimi-K2.5,1,4,50.0,medium,high,77,4
LedgerFlow,fintech,Kimi-K2.5,2,6,0.0,low,low,96,4
LedgerFlow,fintech,Kimi-K2.5,3,6,0.0,low,low,44,4
LedgerFlow,fintech,llama3.1:8b-instruct-q3_K_M,1,5,100.0,high,high,18,6
LedgerFlow,fintech,llama3.1:8b-instruct-q3_K_M,2,0,50.0,High,No Rating Returned,0,2
LedgerFlow,fintech,llama3.1:8b-instruct-q3_K_M,3,2,50.0,high,high,21,4
CryptoSave,fintech,gpt-oss-120b,1,2,50.0,high,high,35,4
CryptoSave,fintech,gpt-oss-120b,2,5,50.0,high,high,34,4
CryptoSave,fintech,gpt-oss-120b,3,2,50.0,high,high,39,4
CryptoSave,fintech,Kimi-K2.5,1,2,50.0,high,high,61,4
CryptoSave,fintech,Kimi-K2.5,2,2,50.0,high,high,61,4
CryptoSave,fintech,Kimi-K2.5,3,2,50.0,high,high,50,4
CryptoSave,fintech,llama3.1:8b-instruct-q3_K_M,1,2,0.0,High,High,13,3
CryptoSave,fintech,llama3.1:8b-instruct-q3_K_M,2,5,50.0,High,High,18,3
CryptoSave,fintech,llama3.1:8b-instruct-q3_K_M,3,1,50.0,High,High,16,4
CareCoord,healthtech,gpt-oss-120b,1,5,100.0,low,high,41,6
CareCoord,healthtech,gpt-oss-120b,2,5,100.0,low,high,35,6
CareCoord,healthtech,gpt-oss-120b,3,5,50.0,low,low,24,4
CareCoord,healthtech,Kimi-K2.5,1,3,0.0,low,high,60,4
CareCoord,healthtech,Kimi-K2.5,2,3,50.0,high,high,42,4
CareCoord,healthtech,Kimi-K2.5,3,3,0.0,high,high,64,4
CareCoord,healthtech,llama3.1:8b-instruct-q3_K_M,2,5,100.0,High,High,11,6
CareCoord,healthtech,llama3.1:8b-instruct-q3_K_M,3,5,100.0,high,high,26,6
WellnessAI,healthtech,gpt-oss-120b,1,3,50.0,high,high,37,4
WellnessAI,healthtech,gpt-oss-120b,2,4,50.0,medium,medium,30,4
WellnessAI,healthtech,gpt-oss-120b,3,5,50.0,medium,high,45,4
WellnessAI,healthtech,Kimi-K2.5,1,1,50.0,high,high,70,4
WellnessAI,healthtech,Kimi-K2.5,2,2,50.0,high,high,79,4
WellnessAI,healthtech,Kimi-K2.5,3,1,50.0,high,high,54,4
WellnessAI,healthtech,llama3.1:8b-instruct-q3_K_M,1,2,50.0,high,high,12,4
WellnessAI,healthtech,llama3.1:8b-instruct-q3_K_M,2,5,50.0,high,high,24,4
WellnessAI,healthtech,llama3.1:8b-instruct-q3_K_M,3,2,50.0,high,high,14,4
ReturnKit,ecommerce,gpt-oss-120b,1,7,100.0,low,high,38,6
ReturnKit,ecommerce,gpt-oss-120b,2,5,50.0,low,medium,37,4
ReturnKit,ecommerce,gpt-oss-120b,3,5,100.0,low,high,54,6
ReturnKit,ecommerce,Kimi-K2.5,1,5,0.0,low,high,71,4
ReturnKit,ecommerce,Kimi-K2.5,2,5,0.0,medium,medium,74,4
ReturnKit,ecommerce,Kimi-K2.5,3,5,50.0,medium,medium,57,4
ReturnKit,ecommerce,llama3.1:8b-instruct-q3_K_M,1,5,50.0,-medium,-high,22,4
ReturnKit,ecommerce,llama3.1:8b-instruct-q3_K_M,2,5,100.0,high,high,16,6
ReturnKit,ecommerce,llama3.1:8b-instruct-q3_K_M,3,5,100.0,medium,medium,27,6
NicheShop,ecommerce,gpt-oss-120b,1,2,50.0,high,high,39,4
NicheShop,ecommerce,gpt-oss-120b,2,5,50.0,high,high,36,4
NicheShop,ecommerce,gpt-oss-120b,3,2,50.0,high,high,38,4
NicheShop,ecommerce,Kimi-K2.5,1,1,50.0,high,high,67,4
NicheShop,ecommerce,Kimi-K2.5,2,1,50.0,high,high,51,4
NicheShop,ecommerce,Kimi-K2.5,3,1,50.0,high,high,33,4
NicheShop,ecommerce,llama3.1:8b-instruct-q3_K_M,1,9,50.0,high,high,30,3
NicheShop,ecommerce,llama3.1:8b-instruct-q3_K_M,2,4,0.0,High,High,12,4
NicheShop,ecommerce,llama3.1:8b-instruct-q3_K_M,3,5,50.0,high,high,24,4
ProposalDesk,saas,gpt-oss-120b,1,5,100.0,low,high,37,6
ProposalDesk,saas,gpt-oss-120b,2,5,100.0,medium,high,53,6
ProposalDesk,saas,gpt-oss-120b,3,4,100.0,low,high,40,6
ProposalDesk,saas,Kimi-K2.5,1,3,0.0,high,high,52,4
ProposalDesk,saas,Kimi-K2.5,2,3,100.0,high,high,80,6
ProposalDesk,saas,Kimi-K2.5,3,4,50.0,medium,high,63,4
ProposalDesk,saas,llama3.1:8b-instruct-q3_K_M,1,5,100.0,Medium,High,32,6
ProposalDesk,saas,llama3.1:8b-instruct-q3_K_M,2,5,100.0,High,High,27,6
ProposalDesk,saas,llama3.1:8b-instruct-q3_K_M,3,5,100.0,medium,high,20,6
TeamSync,saas,gpt-oss-120b,1,5,50.0,low,medium,31,4
TeamSync,saas,gpt-oss-120b,2,3,50.0,medium,high,37,4
TeamSync,saas,gpt-oss-120b,3,4,50.0,medium,high,43,4
TeamSync,saas,Kimi-K2.5,1,2,50.0,high,high,73,4
TeamSync,saas,Kimi-K2.5,2,3,50.0,low,high,43,4
TeamSync,saas,Kimi-K2.5,3,3,50.0,high,high,87,4
TeamSync,saas,llama3.1:8b-instruct-q3_K_M,1,5,50.0,High,High,26,4
TeamSync,saas,llama3.1:8b-instruct-q3_K_M,2,4,50.0,High,High,19,4
TeamSync,saas,llama3.1:8b-instruct-q3_K_M,3,5,50.0,high,high,23,4
